 CMS collision Energy =    13000.000000000000     
 Collider type = pp
 ======================================
 Factorization scale                = dynamical
 Renormalization scale              = dynamical
 ==================================
 NLO QCD Cross-Section with LO photon-induced Channel                                                                                                 
 ======================================
 EW input parameters: Gmu scheme
  3731.74   0.15011319E-05   0.28009031E-06
  4118.05   0.80403054E-06   0.17891589E-06

  ----   l-/lep. pT     ----

     2.50   0.57338562E-02   0.22523484E-04
     7.50   0.10404968E-02   0.11612602E-04
    12.50   0.61312747E-03   0.10170017E-04
    17.50   0.44345285E-03   0.86782264E-05
    22.50   0.32389779E-03   0.22083048E-04
    27.50   0.31937465E-03   0.21820828E-04
    32.50   0.25618752E-03   0.98944927E-05
    37.50   0.28288447E-03   0.51941376E-04
    42.50   0.16441670E-03   0.53731291E-04
    47.50   0.16756628E-03   0.41505950E-04
    52.50   0.18520746E-03   0.25971229E-04
    57.50   0.24618764E-03   0.38522697E-04
    62.50   0.18253873E-03   0.14802731E-04
    67.50  -0.28026971E-04   0.20767911E-03
    72.50   0.25048726E-03   0.83549507E-04
    77.50   0.28334668E-03   0.12747347E-03
    82.50   0.21305840E-03   0.18172312E-04
    87.50   0.14903568E-03   0.20279039E-04
    92.50   0.15714078E-03   0.21805760E-04
    97.50   0.15852123E-03   0.33616375E-04

  ----   l-/lep. eta    ----

    -4.75   0.38664875E-03   0.57807840E-05
    -4.25   0.39816452E-03   0.74817823E-05
    -3.75   0.48887624E-03   0.94632327E-05
    -3.25   0.60787065E-03   0.11662228E-04
    -2.75   0.92864892E-03   0.15933958E-04
    -2.25   0.12927083E-02   0.17884541E-04
    -1.75   0.16947974E-02   0.18554345E-04
    -1.25   0.20799204E-02   0.18451170E-04
    -0.75   0.23712827E-02   0.19468792E-04
    -0.25   0.25457309E-02   0.21737807E-04
     0.25   0.25173775E-02   0.21947887E-04
     0.75   0.23794525E-02   0.25615803E-04
     1.25   0.20970814E-02   0.22044075E-04
     1.75   0.16943033E-02   0.20842207E-04
     2.25   0.12785417E-02   0.19806535E-04
     2.75   0.94355155E-03   0.19998218E-04
     3.25   0.60978096E-03   0.16501694E-04
     3.75   0.50072962E-03   0.14875124E-04
     4.25   0.38854624E-03   0.12542522E-04
     4.75   0.38385569E-03   0.61342873E-05

  ----   l+/neu. pT     ----

     2.50   0.57336313E-02   0.22532763E-04
     7.50   0.10271759E-02   0.16416301E-04
    12.50   0.64059866E-03   0.16890776E-04
    17.50   0.46356223E-03   0.22883083E-04
    22.50   0.33070129E-03   0.23424707E-04
    27.50   0.28952116E-03   0.14150229E-04
    32.50   0.27451916E-03   0.22323750E-04
    37.50   0.23656132E-03   0.25142687E-04
    42.50   0.21232374E-03   0.11706454E-04
    47.50   0.18442973E-03   0.20339341E-04
    52.50   0.18937797E-03   0.31672437E-04
    57.50   0.21500996E-03   0.22811332E-04
    62.50   0.18467728E-03   0.16167047E-04
    67.50   0.17281858E-03   0.12461179E-04
    72.50   0.18311655E-03   0.15084851E-04
    77.50   0.17568772E-03   0.13407158E-04
    82.50   0.30328954E-03   0.12265651E-03
    87.50   0.35809342E-04   0.12337309E-03
    92.50   0.20362516E-03   0.55841440E-04
    97.50   0.11290845E-03   0.51247720E-04

  ----   l+/neu. eta    ----

    -4.75   0.38571860E-03   0.70384156E-05
    -4.25   0.41011671E-03   0.77113975E-05
    -3.75   0.44907667E-03   0.76465941E-05
    -3.25   0.57088914E-03   0.93658147E-05
    -2.75   0.78281171E-03   0.12273454E-04
    -2.25   0.11276272E-02   0.14544365E-04
    -1.75   0.16010992E-02   0.16892297E-04
    -1.25   0.21101561E-02   0.19641030E-04
    -0.75   0.25590794E-02   0.22205469E-04
    -0.25   0.27992206E-02   0.24164023E-04
     0.25   0.28043758E-02   0.24377197E-04
     0.75   0.25424685E-02   0.25036171E-04
     1.25   0.20956289E-02   0.26527996E-04
     1.75   0.16050318E-02   0.24714334E-04
     2.25   0.11541461E-02   0.17625184E-04
     2.75   0.76270276E-03   0.23453321E-04
     3.25   0.57407448E-03   0.23830407E-04
     3.75   0.45810125E-03   0.12855799E-04
     4.25   0.41739666E-03   0.16789220E-04
     4.75   0.38022942E-03   0.15496712E-04

  ----   jet 1 pT       ----

     2.50   0.11121165E-01   0.42966514E-03
     7.50   0.61431476E-02   0.33839211E-03
    12.50   0.31758903E-02   0.14209537E-03
    17.50   0.19287930E-02   0.73078453E-04
    22.50   0.12502004E-02   0.47123324E-04
    27.50   0.10035727E-02   0.33610810E-04
    32.50   0.77892914E-03   0.27007486E-04
    37.50   0.61192540E-03   0.20038914E-04
    42.50   0.51153810E-03   0.17378233E-04
    47.50   0.45344626E-03   0.14534216E-04
    52.50   0.38574343E-03   0.12316734E-04
    57.50   0.33534200E-03   0.10782771E-04
    62.50   0.29305824E-03   0.95944551E-05
    67.50   0.25982915E-03   0.83195665E-05
    72.50   0.23616706E-03   0.75405028E-05
    77.50   0.21202047E-03   0.68068826E-05
    82.50   0.18922185E-03   0.61303806E-05
    87.50   0.16711188E-03   0.57349111E-05
    92.50   0.15225428E-03   0.50130894E-05
    97.50   0.14466064E-03   0.47330523E-05

  ----   jet 1 eta      ----

    -4.75   0.68591543E-03   0.22805564E-03
    -4.25   0.57389380E-02   0.18557991E-02
    -3.75   0.23344550E-02   0.52671631E-03
    -3.25   0.98779022E-02   0.72377296E-02
    -2.75   0.58851789E-02   0.18486286E-02
    -2.25   0.85143984E-02   0.40667866E-02
    -1.75   0.79001223E-02   0.37135956E-02
    -1.25   0.99544679E-02   0.46737208E-02
    -0.75   0.93413805E-02   0.24749045E-02
    -0.25   0.55497992E-02   0.83075725E-03
     0.25   0.60139578E-02   0.10781403E-02
     0.75   0.47574991E-02   0.66248380E-03
     1.25   0.53488426E-02   0.92393036E-03
     1.75   0.51626611E-02   0.76727311E-03
     2.25   0.15808200E-01   0.85901171E-02
     2.75   0.28230423E-02   0.50096675E-03
     3.25   0.28386222E-02   0.58610702E-03
     3.75   0.51547110E-02   0.19145961E-02
     4.25   0.13501169E-02   0.43841802E-03
     4.75   0.75221524E-03   0.21958796E-03

  ----   jet 2 pT       ----

     2.50   0.31400853E-01   0.64037734E-04
     7.50    0.0000000       0.10000000E-09
    12.50    0.0000000       0.10000000E-09
    17.50    0.0000000       0.10000000E-09
    22.50    0.0000000       0.10000000E-09
    27.50    0.0000000       0.10000000E-09
    32.50    0.0000000       0.10000000E-09
    37.50    0.0000000       0.10000000E-09
    42.50    0.0000000       0.10000000E-09
    47.50    0.0000000       0.10000000E-09
    52.50    0.0000000       0.10000000E-09
